# volume mixing ratio of N2O in U.S. standard atmosphere
# source: http://www.atm.ox.ac.uk/RFM/atm/
   1.2000E+02   1.8510E-10
   1.1500E+02   2.1200E-10
   1.1000E+02   2.4430E-10
   1.0500E+02   2.8370E-10
   1.0000E+02   3.3230E-10
   9.5000E+01   3.9320E-10
   9.0000E+01   4.7080E-10
   8.5000E+01   5.7160E-10
   8.0000E+01   7.0560E-10
   7.5000E+01   8.8900E-10
   7.0000E+01   1.1490E-09
   6.5000E+01   1.5070E-09
   6.0000E+01   2.0650E-09
   5.5000E+01   3.0000E-09
   5.0000E+01   4.7520E-09
   4.7500E+01   9.3780E-09
   4.5000E+01   1.5910E-08
   4.2500E+01   2.7510E-08
   4.0000E+01   4.5130E-08
   3.7500E+01   6.6930E-08
   3.5000E+01   9.2750E-08
   3.2500E+01   1.1650E-07
   3.0000E+01   1.4160E-07
   2.7500E+01   1.5880E-07
   2.5000E+01   1.7560E-07
   2.4000E+01   1.8750E-07
   2.3000E+01   1.9670E-07
   2.2000E+01   2.0510E-07
   2.1000E+01   2.1940E-07
   2.0000E+01   2.3650E-07
   1.9000E+01   2.5270E-07
   1.8000E+01   2.6710E-07
   1.7000E+01   2.7830E-07
   1.6000E+01   2.8770E-07
   1.5000E+01   2.9440E-07
   1.4000E+01   2.9990E-07
   1.3000E+01   3.0480E-07
   1.2000E+01   3.0950E-07
   1.1000E+01   3.1400E-07
   1.0000E+01   3.1790E-07
   9.0000E+00   3.1950E-07
   8.0000E+00   3.2000E-07
   7.0000E+00   3.2000E-07
   6.0000E+00   3.2000E-07
   5.0000E+00   3.2000E-07
   4.0000E+00   3.2000E-07
   3.0000E+00   3.2000E-07
   2.0000E+00   3.2000E-07
   1.0000E+00   3.2000E-07
   0.0000E+00   3.2000E-07
